time,cpu_usage_pct,ram_usage_pct,network_in,network_out,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,clk:clk_set_rate,cpu-migrations,cs,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
10:33:01,12.9,0.0194014,1.90,19.29,0,0,0,0,0,0,6,2,298136,11,0,4,331,120534,1705,0,0,7135,5098,477,1037,48,3,144,0,2,43,43,1,55,19,980188,89,0,17,2,185847,185831,4,5,0,1,2,297729,178995,3,3,101,10,10,0,0,0,40,376168,144,31,1,0,0,1,0,0,1,1,0,0,1
10:33:10,13.4,0.0195197,1.63,19.36,0,6,0,6,0,1,3,16,299165,6,0,28,1346,121829,1799,0,0,7448,5392,2557,3302,468,11,571,63,14,42,42,1,955,289,994428,89,5,17,2,188992,188983,6,7,4,6,11,299012,179955,7,8,94,11,5,0,5,0,41,376253,151,31,1,3,11,5,0,0,5,1,1,0,2
10:33:20,14,0.0192279,1.80,19.46,0,0,0,0,0,0,2,19,291205,6,0,4,1349,115343,1835,0,0,7848,5677,5315,5655,1308,79,1323,126,2,42,42,1,2547,936,974269,87,11,17,47,190941,190916,4,4,10,13,22,290913,178382,11,15,98,13,15,0,12,0,41,350629,142,31,1,0,0,29,0,0,29,1,0,0,1
10:33:30,14.4,0.019483,1.65,18.35,0,0,0,0,0,0,4,19,285743,7,0,4,563,109836,1829,0,0,7415,5372,5301,5956,1314,236,1372,189,2,40,40,1,2545,937,948536,83,12,16,47,189737,189722,4,4,11,13,24,285608,177497,11,15,95,13,15,0,13,0,38,336011,152,33,1,0,0,25,0,0,25,1,0,0,1
10:33:39,15,0.0195065,2.00,20.54,0,0,0,0,0,0,4,34,284162,15,0,4,1363,109924,1919,0,0,7869,5681,5332,6079,1306,333,1386,189,2,49,49,1,2552,936,945419,101,12,17,47,189544,189527,4,4,12,19,24,284026,176900,11,15,117,13,16,0,13,0,43,336338,157,32,1,0,0,29,0,0,29,1,0,0,1
10:33:49,15.3,0.0195248,2.07,19.84,0,0,0,0,0,0,2,36,287810,9,0,4,1099,112865,1833,0,0,7818,5660,5388,5833,1314,269,1344,252,2,44,44,1,2539,942,960908,91,11,16,48,189825,189802,4,4,11,13,24,287505,177181,11,15,105,16,17,0,13,0,42,336127,152,30,0,0,0,25,0,0,25,0,0,0,0
10:33:59,15.6,0.0193922,1.88,19.62,0,0,0,0,0,0,2,20,290950,6,0,4,1448,115981,1932,0,0,8316,5848,5513,5940,1327,276,1331,126,11,43,43,1,2562,950,977925,89,11,17,47,191682,191654,9,5,11,13,24,290649,177609,12,16,241,14,182,0,14,0,40,337533,169,39,0,0,0,29,0,0,29,0,0,0,0
10:34:08,16,0.0194503,1.91,19.44,0,0,0,0,0,0,4,22,273744,6,0,4,1320,101030,1675,0,0,7536,5404,3157,3393,866,12,790,63,2,44,44,1,1574,656,886039,91,7,17,48,185726,185713,4,5,6,2,14,273542,175292,6,8,102,15,16,0,8,0,42,345158,139,26,0,0,0,18,0,0,18,0,0,0,0
10:34:19,16.3,0.0197218,1.94,19.62,0,0,0,0,0,0,4,8,279438,9,0,2,1316,103799,1677,0,0,7750,5706,2172,2816,255,70,321,63,1,51,51,5,836,142,898669,97,3,17,2,188108,188095,2,3,2,3,6,279287,178189,4,5,100,17,8,0,3,0,46,348050,141,31,0,0,0,4,0,0,4,0,0,0,0
10:34:28,16.6,0.0198085,1.70,19.36,0,0,0,0,0,0,4,16,277327,9,0,4,1324,102655,1695,0,0,7226,5168,1601,1995,512,8,327,63,2,43,43,1,849,412,891898,89,4,17,14,185620,185613,4,4,3,2,8,277172,176853,4,4,103,17,16,0,3,0,39,344634,138,26,0,0,0,2,0,0,2,0,0,0,0
