time,cpu_usage_pct,ram_usage_pct,network_in,network_out,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,clk:clk_set_rate,cpu-migrations,cs,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
09:37:28,20.2,0.0205831,1.99,19.62,0,0,0,0,0,0,4,6,299022,8,0,4,1142,121998,1682,0,0,7097,5072,442,877,52,4,80,0,2,43,43,1,55,14,984525,87,0,17,2,186048,186034,4,4,0,0,2,298650,179265,3,3,92,10,4,0,0,0,41,381802,139,29,0,0,0,1,0,0,1,0,0,0,0
09:37:38,20.3,0.0206954,1.63,18.35,0,0,0,0,0,0,4,11,298913,12,0,2,1312,121953,1731,0,0,7160,5122,933,1299,157,68,168,126,1,50,50,1,481,76,986572,103,1,17,3,186400,186385,2,3,1,1,3,298504,179322,3,4,108,14,7,6,1,1,42,373188,143,26,0,0,0,3,0,0,3,0,0,0,0
09:37:48,20.3,0.0204637,1.94,19.60,0,0,0,0,0,0,4,7,299405,12,0,4,1320,122048,1692,0,0,7108,5080,853,1288,152,5,175,63,2,47,47,1,492,94,987705,97,1,17,2,186659,186636,4,5,1,1,3,299069,179764,3,4,101,11,5,6,1,1,41,375897,141,29,0,0,0,2,0,0,2,0,0,0,0
09:37:58,20.4,0.0206454,2.18,19.83,0,0,0,0,0,0,4,6,299458,15,0,2,347,121113,1792,0,0,7170,5128,936,1321,152,6,170,63,1,50,50,1,481,59,986770,103,1,17,3,186883,186858,2,3,1,1,3,299027,179803,3,4,110,14,7,6,1,1,42,370210,146,29,0,0,0,4,0,0,4,0,0,0,0
09:38:08,20.4,0.0206842,1.93,18.61,0,0,0,0,0,0,4,7,284078,9,0,4,1335,106900,1685,0,0,7163,5138,607,1230,66,3,140,0,2,43,43,1,69,20,911573,89,1,17,2,186514,186515,4,5,0,0,2,284021,179375,3,3,94,17,4,0,0,0,39,362183,135,26,0,0,0,2,0,0,2,0,0,0,0
09:38:17,20.5,0.0205597,1.94,19.36,0,0,0,0,0,0,2,22,278963,19,0,2,1319,101942,1711,0,0,7153,5116,939,1608,159,6,230,0,1,48,48,1,503,98,888956,99,2,17,3,186236,186229,2,3,1,1,3,278863,179093,3,4,105,20,7,6,1,1,43,349757,137,24,0,0,0,3,0,0,3,0,0,0,0
09:38:27,20.4,0.0205352,2.11,19.75,0,0,0,0,0,0,4,12,287365,16,0,4,340,109430,1750,0,0,7220,5178,1027,1395,158,69,184,63,2,47,47,1,484,69,928894,97,1,17,2,186254,186238,4,5,1,1,3,286963,179066,3,4,101,22,5,6,1,1,41,365691,144,29,0,0,0,2,0,0,2,0,0,0,0
09:38:37,20.4,0.0206627,2.16,19.75,0,0,0,0,0,0,4,15,299502,9,0,4,1325,122147,1742,0,0,7279,5238,795,1119,79,67,104,63,2,47,47,1,58,12,986642,97,0,17,4,187322,187310,4,5,0,0,2,299191,179880,3,3,107,24,10,0,0,0,44,382167,142,25,0,0,0,3,0,0,3,0,0,0,0
09:38:47,20.5,0.0205239,1.77,19.36,0,0,0,0,0,0,4,12,296018,13,0,4,1309,119345,1661,0,0,7197,5163,1026,1177,159,69,160,0,2,48,48,1,475,84,972584,99,1,18,2,186124,186110,4,5,1,0,3,295517,178960,3,4,105,18,5,6,1,1,42,372244,146,30,0,0,0,3,0,0,3,0,0,0,0
09:38:57,20.5,0.0205627,1.97,19.44,0,0,0,0,0,0,4,7,295847,13,0,4,362,118811,1803,0,0,7325,5270,1209,1593,180,6,199,0,2,52,52,1,486,86,973597,107,1,18,4,186172,186156,4,4,1,1,3,295445,178573,3,4,116,25,11,6,1,1,45,370664,156,31,0,0,0,3,0,0,3,0,0,0,0
