time,cpu_usage_pct,ram_usage_pct,network_in,network_out,block:block_bio_backmerge,block:block_bio_remap,block:block_dirty_buffer,block:block_getrq,block:block_touch_buffer,block:block_unplug,clk:clk_set_rate,cpu-migrations,cs,fib:fib_table_lookup,filemap:mm_filemap_add_to_page_cache,gpio:gpio_value,ipi:ipi_raise,irq:irq_handler_entry,irq:softirq_entry,jbd2:jbd2_handle_start,jbd2:jbd2_start_commit,kmem:kfree,kmem:kmalloc,kmem:kmem_cache_alloc,kmem:kmem_cache_free,kmem:mm_page_alloc,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,kmem:mm_page_pcpu_drain,mmc:mmc_request_start,net:net_dev_queue,net:net_dev_xmit,net:netif_rx,page-faults,pagemap:mm_lru_insertion,preemptirq:irq_enable,qdisc:qdisc_dequeue,random:get_random_bytes,random:mix_pool_bytes_nolock,random:urandom_read,raw_syscalls:sys_enter,raw_syscalls:sys_exit,rpm:rpm_resume,rpm:rpm_suspend,sched:sched_process_exec,sched:sched_process_free,sched:sched_process_wait,sched:sched_switch,sched:sched_wakeup,signal:signal_deliver,signal:signal_generate,skb:consume_skb,skb:kfree_skb,skb:skb_copy_datagram_iovec,sock:inet_sock_set_state,task:task_newtask,tcp:tcp_destroy_sock,tcp:tcp_probe,timer:hrtimer_start,timer:timer_start,workqueue:workqueue_activate_work,writeback:global_dirty_state,writeback:sb_clear_inode_writeback,writeback:wbc_writepage,writeback:writeback_dirty_inode,writeback:writeback_dirty_inode_enqueue,writeback:writeback_dirty_page,writeback:writeback_mark_inode_dirty,writeback:writeback_pages_written,writeback:writeback_single_inode,writeback:writeback_write_inode,writeback:writeback_written
14:18:38,25.7,0.810831,0.81,0.33,0,0,0,0,0,0,4,9,300858,15,0,4,361,120967,765,0,0,308,254,428,787,44,2,161,124,2,8,8,1,18,6,967265,19,0,2,3,181217,181208,4,4,0,6,3,300355,180192,3,3,36,14,10,0,0,0,7,371043,126,42,0,0,0,1,0,0,1,0,0,0,0
14:18:48,25.7,0.810894,0.63,0.32,0,2,0,2,0,1,3,28,281525,7,0,12,367,106829,809,0,0,709,522,3142,3874,896,350,1042,403,6,10,10,1,1665,697,896627,23,7,2,47,179659,179638,6,7,7,8,16,281239,175147,7,10,44,12,24,0,8,0,7,344699,129,37,3,4,6,19,0,0,19,1,3,2,3
14:18:57,25.7,0.810918,0.60,0.23,0,0,0,0,0,0,3,15,294637,7,0,4,362,115230,778,0,0,732,562,3196,3676,906,350,938,310,2,8,8,1,1662,696,947583,19,7,2,48,184569,184555,4,4,7,8,16,294371,179889,7,10,36,16,20,0,8,0,7,356909,125,40,0,0,0,17,0,0,17,0,0,0,0
14:19:07,25.7,0.810968,0.87,5.30,0,0,0,0,0,0,3,19,296035,7,0,4,537,117254,840,0,0,1369,780,3377,3603,907,359,936,248,26,6,6,1,1612,685,957172,15,7,2,48,186298,186270,18,4,7,9,16,295375,179246,10,13,215,17,245,0,10,0,5,349426,163,57,0,0,0,15,0,0,15,0,0,0,0
14:19:17,25.7,0.810876,0.81,0.23,0,0,0,0,0,0,4,8,295645,10,0,4,359,116679,772,0,0,688,519,3109,3279,888,350,930,310,2,5,5,1,1632,689,953197,13,7,2,47,183778,183761,4,4,7,8,16,295247,179316,7,10,31,12,18,0,8,0,4,342755,135,40,0,0,0,19,0,0,19,0,0,0,0
14:19:27,25.7,0.810901,0.60,0.23,0,1,0,1,0,1,2,16,297392,20,0,8,356,117592,816,0,0,708,540,3196,3416,904,290,923,279,4,8,8,1,1628,683,959818,19,7,2,48,184697,184681,6,6,7,8,16,296984,180157,7,10,46,15,18,0,8,0,5,345063,141,44,3,6,5,22,0,0,22,1,3,2,3
14:19:37,25.7,0.810785,0.49,0.23,0,1,0,1,0,1,3,33,291498,6,0,8,345,113133,779,0,0,675,513,3107,3598,886,319,970,341,4,10,10,1,1664,699,934878,23,7,2,47,183435,183402,6,6,7,8,16,291384,178960,7,10,35,12,18,0,8,0,7,352518,140,45,3,6,5,17,0,0,17,1,3,2,3
14:19:47,25.7,0.810893,0.60,0.27,0,0,0,0,0,0,2,9,296949,7,0,4,354,117451,752,0,0,708,540,3162,3376,907,382,936,341,2,6,6,1,1634,691,958286,15,7,2,48,184440,184422,4,5,7,8,16,296574,179878,7,10,29,15,18,0,8,0,5,356719,131,42,0,0,0,19,0,0,19,0,0,0,0
14:19:56,25.7,0.810948,0.64,5.30,0,0,0,0,0,0,4,16,291701,7,0,4,357,116421,827,0,0,785,616,3277,3503,900,319,936,310,2,11,11,1,1618,682,944926,25,7,2,47,180465,180446,4,5,7,8,16,291242,175682,7,10,36,18,18,0,8,0,7,351376,138,39,0,0,0,23,0,0,23,0,0,0,0
14:20:06,25.7,0.81087,0.49,0.23,0,0,0,0,0,0,4,8,292640,8,0,4,344,117253,606,0,0,793,639,3336,3284,913,412,853,279,2,6,6,1,1630,683,948895,15,7,2,48,180627,180611,4,5,7,2,16,292285,175734,7,10,33,23,21,0,8,0,5,368579,122,37,0,0,0,20,0,0,20,0,0,0,0
14:20:15,25.7,0.810787,2.77,0.23,6,8,6,2,0,1,4,5,301133,8,2,12,327,121131,618,0,1,319,286,518,721,58,33,81,31,6,5,5,1,36,6,968369,13,0,2,2,181449,181439,8,9,0,0,3,300750,180318,3,3,23,17,9,0,0,0,4,378171,117,42,0,0,0,1,1,6,7,0,0,0,0
14:20:25,25.7,0.810874,0.54,0.23,0,0,0,0,0,0,4,10,300932,6,0,4,342,121130,617,0,0,320,287,517,714,60,2,80,31,2,10,10,1,40,6,967946,23,0,2,2,181350,181341,4,5,0,0,3,300575,180196,3,3,31,17,11,0,0,0,7,379367,126,39,0,0,0,1,0,0,1,0,0,0,0
14:20:35,25.7,0.812332,0.61,0.65,0,1,0,1,0,1,4,3,301113,8,0,8,334,121143,643,0,0,319,286,506,693,56,1,85,0,4,5,5,1,37,7,968388,13,0,2,2,181498,181489,6,7,0,0,3,300759,180367,3,3,23,17,9,0,0,0,4,380479,124,42,3,6,5,1,0,0,1,1,3,2,3
14:20:44,25.7,0.810768,0.63,0.23,0,1,0,1,0,1,4,8,298564,8,0,8,358,119183,624,0,0,225,199,338,782,47,1,119,31,4,5,5,1,72,20,957544,13,0,2,2,180816,180785,6,7,0,0,3,298426,179922,3,3,23,10,9,0,0,0,4,383617,115,41,3,6,5,1,0,0,1,1,3,2,3
14:20:54,25.7,0.810817,0.79,0.71,0,0,0,0,0,0,4,4,301190,7,0,4,332,121233,632,0,0,226,201,349,561,42,1,68,31,2,10,10,1,32,6,968342,23,0,2,2,181207,181198,4,4,0,0,3,300850,180379,3,3,30,10,8,0,0,0,7,389439,124,37,0,0,0,1,0,0,1,0,0,0,0
14:21:04,25.7,0.811019,6.18,4.22,0,0,0,0,0,0,4,10,301074,9,0,4,321,121197,602,0,0,229,201,332,640,40,0,106,62,2,6,6,1,38,6,968218,15,0,2,2,181042,181033,4,4,0,0,3,300742,180228,3,3,22,10,6,0,0,0,4,381424,114,36,0,0,0,1,0,0,1,0,0,0,0
